 X_force  Z_force     lambda  Y_force    time(sec)
  0.0411  -0.1129  326.40025   3.0197  10792.67773
  0.0202   0.1597  326.42525   2.8177  10792.67969
 -0.1892   0.1113  325.77120   2.8716  10792.67969
  0.3203   0.1191  326.21825   2.8514  10792.68164
 -0.0705   0.1191  326.12855   2.7706  10792.68262
  0.3814   0.0350  326.18965   2.8228  10792.68359
  0.3291   0.0901  325.95330   2.8228  10792.68359
 -0.4771  -0.0027  325.91025   2.9541  10792.68555
 -0.8069  -0.0926  325.84985   3.0046  10792.68555
 -0.3916  -0.1013  326.53255   3.0668  10792.68652
  0.0621   0.0147  325.62595   2.8783  10792.68750
 -0.3079  -0.0781  326.34855   2.9860  10792.68945
 -0.1264  -0.1941  325.85480   3.0248  10792.68945
 -0.1369  -0.0636  325.68950   2.9440  10792.69141
  0.1040   0.0611  325.92490   2.8682  10792.69141
  0.5489   0.0785  326.31070   2.8480  10792.69336
  1.0410   0.0727  325.88550   2.8480  10792.69336
  1.0201  -0.0781  325.81135   2.8531  10792.69531
  0.6432  -0.0317  326.10710   2.8834  10792.69531
  0.5228  -0.0549  325.72880   2.8985  10792.69727
  0.7531  -0.0549  325.72545   2.8783  10792.69727
  0.2087   0.0495  326.36910   2.9187  10792.69824
 -0.1264   0.0553  326.13130   2.8278  10792.69922
 -0.2049   0.0843  326.30885   2.8379  10792.70117
  0.3029   0.1597  326.30875   2.8682  10792.70117
 -0.0217   0.0495  326.26635   2.9339  10792.70312
  0.8630   0.0901  325.95715   2.7268  10792.70312
  1.4441   0.0872  326.00595   2.8076  10792.70508
  0.7426   0.0263  326.33015   2.9137  10792.70508
  0.4442  -0.1042  326.36630   2.9490  10792.70703
  0.5018  -0.1593  325.95565   2.9995  10792.70703
  0.5228  -0.1129  325.41580   2.9591  10792.70801
  0.6275  -0.0124  326.46355   2.9591  10792.70996
  0.4338   0.0263  326.92915   2.9187  10792.71094
  0.0725   0.0437  326.77315   2.9490  10792.71094
 -0.2468   0.0843  326.67255   2.9238  10792.71387
 -0.1421   0.0582  326.69735   2.9844  10792.71387
 -0.2677   0.0495  326.53845   2.9541  10792.71484
  0.0097  -0.0578  326.62070   2.9793  10792.71680
  0.2505   0.0185  326.60350   2.9052  10792.71777
  0.5297   0.0533  326.57300   2.9456  10792.71777
  0.5437   0.0959  326.62490   2.8783  10792.71875
  0.2715  -0.0259  326.47105   2.9288  10792.72070
 -0.5242   0.0495  326.67980   2.8935  10792.72168
 -0.4248  -0.0897  326.70760   2.9844  10792.72168
  0.0830   0.0176  326.60360   2.9288  10792.72266
  0.4181   0.0582  326.54480   2.8682  10792.72461
  0.3500   0.0321  326.56615   2.8480  10792.72559
  0.2401   0.1220  326.57165   2.8127  10792.72559
  0.8735   0.2699  326.33095   2.7773  10792.72656
  0.3552   0.2351  326.84145   2.8177  10792.72754
 -0.0845   0.0379  326.33735   2.8581  10792.72852
 -0.3777   0.0263  325.92675   2.7773  10792.72949
