 X_force  Z_force     lambda  Y_force    time(sec)
  0.6536   0.4468  333.45485   2.8834  10817.33984
  1.1667   0.5512  333.00010   2.6864  10817.34180
  0.9573   0.5106  333.06910   2.8026  10817.34277
  0.6850   0.4497  332.99115   2.9440  10817.34277
  1.0358   0.3308  333.49490   3.0096  10817.34375
  1.0463   0.2757  333.02355   3.0248  10817.34570
  0.8159   0.3801  333.24890   2.9793  10817.34668
  0.3762   0.3627  332.90645   3.1005  10817.34668
  1.1824   0.3279  332.98270   2.8581  10817.34863
  0.9154   0.2699  333.41080   2.8884  10817.34961
  0.9991   0.2380  333.24285   2.9086  10817.35059
  1.2452   0.2148  333.63910   2.8430  10817.35059
  0.9573   0.3279  333.58030   2.9692  10817.35156
  0.2924   0.4352  333.25170   2.8531  10817.35352
  0.2191   0.4642  333.30885   2.8329  10817.35449
  0.8508   0.4864  333.15345   2.8043  10817.35449
  1.0951   0.4245  333.53730   2.9456  10817.35547
  1.2347   0.5251  333.27660   2.7672  10817.35742
  0.5646   0.5831  333.58445   2.6965  10817.35840
  0.2994   0.5715  333.43835   2.8244  10817.35840
  0.7391   0.6179  333.44515   2.7234  10817.35938
  0.7217   0.6150  333.01710   2.7218  10817.36133
  0.5803   0.6150  333.48835   2.6713  10817.36230
  0.2505   0.5280  333.43215   2.8329  10817.36230
  0.4599   0.5280  333.16505   2.8329  10817.36328
 -0.3934   0.2641  333.59410   3.0551  10817.36523
  0.5297   0.0920  333.41875   3.2352  10817.36621
  0.7531   0.2641  333.52610   3.0702  10817.36719
  0.4181   0.2467  333.30790   3.0500  10817.36914
  1.2975   0.4439  333.39415   2.7369  10817.37012
  1.0183   0.4941  332.88345   2.6628  10817.37012
  0.5367   0.5483  333.25840   2.7369  10817.37109
 -0.0845   0.6005  333.60035   2.8127  10817.37305
  0.0883   0.4265  333.36505   2.9238  10817.37305
  0.1877   0.4149  333.65905   3.0096  10817.37500
  0.4128   0.5889  333.86125   2.6561  10817.37500
  0.8316   0.7078  333.10465   2.5147  10817.37695
  0.7950   0.7194  333.24030   2.5652  10817.37695
  0.6065   0.4671  333.23890   2.7975  10817.37793
  0.0830   0.3743  333.37050   2.9288  10817.37891
 -0.1107   0.4555  333.48615   2.8884  10817.38086
  0.3919   0.4787  333.10375   2.7672  10817.38086
  0.5071   0.5773  333.37080   2.7723  10817.38281
  0.4442   0.5425  333.43815   2.6915  10817.38281
  0.6013   0.4671  333.28105   2.8581  10817.38477
  0.9311   0.6266  333.46505   2.7369  10817.38477
  0.9276   0.6488  333.57655   2.6561  10817.38672
  0.9346   0.7725  333.39665   2.5417  10817.38672
  1.1928   0.7803  333.33175   2.4238  10817.38867
  1.0044   0.6759  333.26600   2.5753  10817.38965
  1.3324   0.7339  333.67795   2.4743  10817.38965
  1.5349   0.7609  333.87390   2.5349  10817.39062
  1.4755   0.7687  333.43945   2.6107  10817.39258
  1.3970   0.7165  333.47215   2.6864  10817.39258
  0.9259   0.5889  333.53520   2.7773  10817.39453
  0.9625   0.5860  333.52760   2.8026  10817.39453
  1.4441   0.5918  333.45165   2.7824  10817.39648
  0.8840   0.5251  333.52585   2.9490  10817.39648
  0.7950   0.4323  333.96525   3.1207  10817.39746
  0.8264   0.4613  333.34090   3.0601  10817.39844
  0.7740   0.3975  333.59850   3.0197  10817.40039
  0.4739   0.3665  333.65520   3.0601  10817.40137
  0.5960   0.2525  333.59780   3.0652  10817.40234
  0.8002   0.2844  333.52670   3.1611  10817.40234
  1.0044   0.1336  333.62280   3.2672  10817.40430
  0.6903   0.1916  333.82085   3.2470  10817.40527
  0.7688   0.3714  333.75930   3.0955  10817.40625
  0.6170   0.3424  333.59415   2.9894  10817.40820
  0.1720   0.3279  333.64865   3.0349  10817.40918
  0.6275   0.3743  333.97920   3.0197  10817.40918
  0.2819   0.3337  333.93535   2.9591  10817.41113
  0.6170   0.3569  333.45320   2.9086  10817.41211
  0.3343   0.4352  333.34870   2.9490  10817.41309
  0.7740   0.4671  333.62505   2.9793  10817.41309
  0.8840   0.4961  333.54845   3.0096  10817.41406
  0.2977   0.5715  333.66075   2.8480  10817.41602
  0.7269   0.5773  333.48770   2.8127  10817.41699
  0.8264   0.5976  333.70390   2.7066  10817.41699
  0.6135   0.5985  333.75730   2.7369  10817.41797
  0.7950   0.3279  333.54315   3.1611  10817.41992
  0.1668   0.2235  333.56755   3.1611  10817.42090
  0.4181   0.1887  333.85680   3.2082  10817.42090
  0.5926   0.3897  333.52205   3.0399  10817.42188
  0.3605   0.4091  333.59890   2.9692  10817.42383
  0.4338   0.3250  333.63275   3.0551  10817.42480
  0.4024   0.3772  333.90185   2.8935  10817.42480
  0.9416   0.2786  333.48170   2.9490  10817.42578
  1.1353   0.1104  333.68065   3.1157  10817.42773
  0.9363   0.0553  333.55625   3.1510  10817.42871
  1.3604   0.0205  333.41365   3.2116  10817.42871
  1.0253   0.2235  334.04130   2.9591  10817.42969
  0.7636   0.4497  333.94770   2.7975  10817.43164
  0.5123   0.6092  333.94250   2.7369  10817.43262
  1.0515   0.6730  333.36850   2.5602  10817.43262
  1.5802   0.6237  333.78525   2.6107  10817.43359
  1.0567   0.5976  333.54485   2.7470  10817.43555
  1.0515   0.5512  333.95995   2.7723  10817.43652
  0.9259   0.4410  333.45230   2.9844  10817.43652
  0.5856   0.5715  333.66075   2.8733  10817.43750
  0.2156   0.6024  333.54520   2.8648  10817.43848
  0.9677   0.5019  333.38030   2.7268  10817.44238
  1.0934   0.4613  333.76440   2.7773  10817.44336
  0.4669   0.3781  333.65930   2.9052  10817.44434
  0.0342   0.4361  333.91065   2.8649  10817.44531
  0.7322   0.6140  333.59010   2.7167  10817.44629
  1.2190   0.5947  333.90975   2.8177  10817.44727
  0.3343   0.6092  333.60850   2.7571  10817.44922
  0.4756   0.5541  333.71065   2.6460  10817.44922
  0.4809   0.4787  333.65020   2.9591  10817.45020
  0.2191   0.5367  333.57765   2.7369  10817.45117
  0.4285   0.4903  333.69090   2.7622  10817.45312
  0.3552   0.3540  333.76775   2.9844  10817.45312
  0.8264   0.3801  333.57855   2.8682  10817.45508
  1.2818   0.4700  333.87945   2.7218  10817.45508
  1.1300   0.4265  333.86290   2.7622  10817.45703
  1.8263   0.4033  333.99870   2.8884  10817.45703
  1.7320   0.4091  333.48855   2.7824  10817.45898
  1.9310   0.3859  333.42300   2.8935  10817.45898
  1.1614   0.5193  333.58110   2.6965  10817.45996
  0.7322   0.5251  333.91285   2.7571  10817.46094
  0.6275   0.4671  333.78320   2.8783  10817.46289
  0.7269   0.5512  333.72870   2.7672  10817.46289
  0.5594   0.5309  333.52820   2.7925  10817.46484
  0.6955   0.5831  333.44270   2.7016  10817.46484
  0.6327   0.5425  333.89990   2.6814  10817.46680
  1.0620   0.4729  333.95110   2.8834  10817.46680
  1.6116   0.4961  333.57675   2.8127  10817.46875
  1.4494   0.4004  333.33885   2.8430  10817.46875
