 X_force  Z_force     lambda  Y_force    time(sec)
  1.5907   0.7223  339.58110   4.1863  10870.70312
  1.0410   0.7397  339.49945   4.2065  10870.70312
  0.7688   0.6556  339.15260   4.1913  10870.70508
  0.3762   0.6063  339.09055   4.3832  10870.70508
 -0.0636   0.6527  339.32930   4.3327  10870.70703
  0.4024   0.7049  339.04050   4.3327  10870.70703
  0.5803   0.8354  339.23350   4.0903  10870.70898
  1.2347   0.8963  339.14495   3.9237  10870.70898
  0.5385   0.8325  339.51270   4.0398  10870.71094
  0.4442   0.7600  338.93545   4.1307  10870.71094
  0.6205   0.7300  339.32250   4.2452  10870.71387
  0.3622   0.6720  339.38790   4.2789  10870.71387
  0.2366   0.6604  338.53405   4.3933  10870.71484
  0.4913   0.6846  338.98545   4.3125  10870.71680
  0.9206   0.5599  339.40340   4.4741  10870.71777
  1.7111   0.6034  339.25325   4.3529  10870.72070
  1.2871   0.5860  339.40640   4.4287  10870.72168
  0.6850   0.5454  339.14800   4.4590  10870.72168
  0.7583   0.6237  339.06835   4.3428  10870.72266
  0.6344   0.5328  339.24725   4.3462  10870.72363
  0.6903   0.5831  339.49875   4.3529  10870.72559
  0.8927   0.6024  339.31340   4.2654  10870.72559
  1.4651   0.6237  339.20905   4.2721  10870.72656
  1.7373   0.6759  339.45505   4.2317  10870.72754
  1.5645   0.7049  338.88880   4.2772  10870.72949
  0.9136   0.6140  338.96925   4.4674  10870.72949
  0.6903   0.5560  339.05720   4.4270  10870.73047
  0.2785   0.5869  339.29150   4.3933  10870.73145
  0.8159   0.6449  339.18370   4.2856  10870.73340
  1.0812   0.6256  339.14510   4.3058  10870.73340
  1.5174   0.6469  339.12745   4.2469  10870.73438
  1.0724   0.6788  339.26925   4.2772  10870.73633
  0.5228   0.8035  338.82915   4.1307  10870.73633
  0.7322   0.8267  339.20145   4.0701  10870.73730
  0.6624   0.7455  339.26225   4.1172  10870.73828
  0.6275   0.7764  339.66470   4.1374  10870.73926
  1.0812   0.8963  339.35230   3.9624  10870.74121
  1.3237   0.9108  339.34095   3.9035  10870.74121
  1.5488   0.7774  339.49055   4.0802  10870.74219
  1.1667   0.7484  339.45760   4.2519  10870.74414
  0.9416   0.7165  339.24535   4.2469  10870.74512
  1.2347   0.6846  339.27250   4.2267  10870.74512
  1.7582   0.7493  339.14840   4.1846  10870.74609
  1.8699   0.7571  339.12290   4.1913  10870.74902
  2.6656   0.7957  339.36945   4.0634  10870.75098
  2.3864   0.8122  339.14205   4.0802  10870.75195
