 X_force  Z_force     lambda  Y_force    time(sec)
  0.7112   0.2467  341.24580   2.9187  10765.43457
  1.4022   0.4729  341.44380   2.6763  10765.43555
  1.3464   0.4477  341.19820   2.7638  10765.43652
  0.9625   0.5057  341.19770   2.8581  10765.43652
  0.5926   0.5173  341.30135   2.7773  10765.43750
  0.6589   0.4526  341.11125   2.7824  10765.43945
  0.9206   0.4758  341.12345   2.6460  10765.44043
  0.9311   0.5338  341.38025   2.6107  10765.44043
  0.8630   0.5889  341.50380   2.5450  10765.44238
  0.6275   0.4613  341.43695   2.6713  10765.44336
  0.8997   0.5019  340.78340   2.5955  10765.44434
  0.9625   0.4555  341.17285   2.6662  10765.44531
  1.0986   0.3685  341.38400   2.8480  10765.44727
  1.3604   0.2815  341.50495   2.8177  10765.44727
  1.6326   0.4062  341.46735   2.5955  10765.44922
  1.4494   0.2438  341.31490   2.7369  10765.44922
  0.9991   0.1771  341.07235   2.9288  10765.45117
  0.6955   0.0553  341.40450   3.0147  10765.45117
  0.4599  -0.0404  341.23895   3.1460  10765.45312
  0.4495  -0.0404  340.90795   3.1308  10765.45312
  0.2087   0.0031  341.55390   3.2217  10765.45410
  0.3134   0.0263  340.82305   3.0399  10765.45508
  0.6798   0.1771  340.95540   3.0096  10765.45703
  0.8473   0.1974  341.09470   2.8177  10765.45703
  0.4547   0.3105  341.16140   2.8632  10765.45898
  0.6379   0.2815  341.40745   2.9036  10765.45898
  0.0673   0.3047  341.29930   2.8935  10765.46094
  0.8316   0.3714  341.16355   2.7167  10765.46094
  0.8578   0.2264  341.51965   2.8682  10765.46289
  1.4930   0.2003  341.55805   2.9322  10765.46387
  2.1142   0.1964  341.39240   2.7840  10765.46484
  1.6326   0.1771  341.61640   2.8177  10765.46582
  0.7322   0.3163  341.28890   2.8783  10765.46680
  1.2277   0.3085  341.50700   2.7167  10765.46777
  1.2417   0.2041  341.45115   2.9389  10765.46777
  1.1981  -0.0520  341.08420   3.0702  10765.46875
  0.7479  -0.0810  341.16610   3.1510  10765.47070
  0.4966  -0.0375  341.36325   2.9995  10765.47070
  0.1092   0.0843  341.16850   2.9844  10765.47266
  0.5960   0.1742  341.33630   2.9036  10765.47266
  0.5175   0.2641  341.36605   2.7773  10765.47461
  0.1249   0.0727  340.75650   3.1005  10765.47461
  0.4704   0.0611  341.49825   3.0904  10765.47656
  0.3971   0.0108  340.97875   3.1140  10765.47656
  0.9416   0.1229  341.44785   2.9591  10765.47852
  0.7374   0.1133  341.14595   3.0147  10765.47852
  0.5803   0.0988  341.16605   2.9995  10765.48047
  0.1668  -0.0607  341.12090   3.0904  10765.48242
  0.1458   0.0350  341.40725   3.0904  10765.48340
  0.3762   0.1945  341.36260   2.9945  10765.48340
  0.6432   0.1249  341.65415   3.0147  10765.48438
 -0.1264   0.0727  341.26005   3.1813  10765.48535
