 X_force  Z_force    lambda  Y_force    time(sec)
  0.5594  -0.0468  24.18210   3.8085  26248.85156
  0.6589   0.0702  23.95740   3.6452  26248.85352
 -0.3044  -0.0845  24.44130   3.7731  26248.85352
 -0.0426  -0.0091  23.88150   3.8842  26248.85547
 -0.5487   0.0625  23.84730   3.8001  26248.85352
 -0.3742  -0.0187  23.95905   4.0963  26248.85742
 -0.0252  -0.2314  23.98200   4.0290  26248.85742
 -0.1159  -0.2005  23.72360   3.7782  26248.85938
 -0.6342  -0.1048  24.08820   3.6115  26248.85938
 -0.2991   0.0054  24.00180   3.5459  26248.86133
  0.1144   0.0837  23.90035   3.8085  26248.86133
 -0.1020   0.0509  23.97090   3.8539  26248.86523
  0.9939   0.1011  24.10880   3.9953  26248.86328
 -0.2346   0.0663  23.85930   3.9280  26248.86523
 -0.6080  -0.0787  24.06820   3.9196  26248.86523
 -0.7389  -0.1396  24.34755   3.6469  26248.86719
 -1.1734  -0.4035  24.27185   3.8236  26248.86719
 -0.8698  -0.3136  24.19360   3.9448  26248.86914
 -0.5033  -0.2382  23.99960   3.8337  26248.86914
 -0.5190  -0.2121  24.09405   3.6822  26248.87109
 -0.5975  -0.2034  23.99545   3.7580  26248.87109
 -0.2101  -0.0294  24.17130   3.8994  26248.87305
 -0.4300  -0.0265  23.69350   3.8741  26248.87305
 -0.3672  -0.0613  23.72805   3.8943  26248.87500
 -0.1369  -0.1927  24.19385   3.9213  26248.87500
  0.1214  -0.2043  23.95825   3.7462  26248.87695
 -0.0461  -0.0845  23.72195   4.0963  26248.87695
  0.1074   0.0199  23.96980   3.6519  26248.88086
 -0.0531  -0.0999  23.72920   3.7731  26248.88086
 -0.3951  -0.2314  24.30280   3.6519  26248.88086
 -0.6551  -0.1976  23.63700   3.7075  26248.88086
 -0.3672  -0.3948  23.90150   3.7832  26248.88281
 -0.6953  -0.5098  23.73605   3.5240  26248.88281
  0.0307  -0.3861  23.77175   3.5913  26248.88672
  0.2261  -0.3049  23.49640   3.7799  26248.88477
  0.1092  -0.4499  23.72285   3.6772  26248.88867
  0.1458  -0.5137  23.72330   3.7681  26248.88867
  0.0516  -0.5949  23.97175   3.8674  26248.89062
 -0.0322  -0.5485  23.94755   3.6183  26248.89062
 -0.5557  -0.4441  23.13550   3.5644  26248.89062
 -0.5208  -0.2817  23.62215   3.8943  26248.89258
  0.6728   0.0625  23.72020   3.8741  26248.89648
  0.2505   0.1707  23.39405   3.8034  26248.89453
  0.0935   0.0895  24.06325   4.0155  26248.89453
 -0.3183   0.0586  23.74445   3.7125  26248.89648
 -0.2677   0.0605  23.64025   3.7782  26248.89844
 -0.3044  -0.0584  23.62900   3.8539  26248.89844
 -0.2416  -0.1193  23.80885   3.9751  26248.89844
 -0.4091  -0.2701  24.05610   3.7529  26248.90039
 -0.6132  -0.2933  23.62665   4.0307  26248.90234
 -0.7598  -0.4644  23.36735   4.0660  26248.90234
 -0.1578  -0.6219  23.83505   3.6991  26248.90430
 -0.1857  -0.4827  23.83785   3.9415  26248.90430
 -0.4859  -0.3049  23.83285   3.8741  26248.90820
 -0.5714  -0.2266  24.08780   3.7580  26248.90820
 -0.4143  -0.2121  23.72570   3.8287  26248.91016
 -0.1369   0.0054  23.73825   3.5257  26248.91016
  0.8526   0.0431  24.00470   3.9499  26248.91211
  1.0305  -0.0816  23.99940   3.8691  26248.91211
  0.7479  -0.1599  23.80815   4.0054  26248.91406
  0.2034  -0.1280  23.80580   4.0256  26248.91406
 -0.3567  -0.1077  23.69485   3.9044  26248.91602
 -0.1944  -0.2034  24.16370   3.8590  26248.91797
 -0.0112  -0.0700  23.96750   3.8741  26248.91992
