 X_force  Z_force    lambda  Y_force    time(sec)
 -0.1683   0.0460  65.94520   4.3791  26454.50195
  0.1563   0.1127  65.86355   4.3539  26454.50195
  0.9730   0.1707  65.60255   4.4599  26454.50195
  0.6589   0.0547  65.54525   4.4397  26454.50391
  0.4844   0.1050  65.90015   4.3185  26454.50586
 -0.0112  -0.1135  66.00605   4.2529  26454.50586
 -0.0217  -0.0700  66.18855   4.3690  26454.50781
  0.0935   0.1504  65.91810   4.4700  26454.50781
 -0.7755   0.0199  65.64620   4.4448  26454.50977
 -0.3044   0.0112  65.54925   4.4044  26454.50977
 -0.5400  -0.0642  65.71235   4.3488  26454.51172
 -0.6394  -0.2237  65.99740   4.2882  26454.51172
  0.0097  -0.0651  66.04205   4.3320  26454.51367
 -0.3463  -0.2005  65.94045   4.3185  26454.51367
 -0.0112  -0.0497  66.11970   4.3387  26454.51562
 -0.0950  -0.0458  65.47315   4.3859  26454.51562
 -0.0950  -0.1773  65.81840   4.2041  26454.51758
 -0.1264  -0.3281  65.66485   4.1620  26454.51758
 -0.1159  -0.4122  66.10065   4.2327  26454.51953
 -0.6028  -0.3542  66.38780   4.1014  26454.51953
 -0.2311  -0.2846  66.04275   4.2529  26454.52148
  0.2767  -0.1976  65.77755   4.2175  26454.52148
 -0.0461  -0.1811  66.30805   4.2916  26454.52344
 -0.4510  -0.1889  66.68465   4.1973  26454.52344
 -0.2136  -0.2701  65.54880   4.1839  26454.52539
 -0.5818  -0.2092  66.01000   4.2074  26454.52539
 -0.0007  -0.0990  66.10795   4.3943  26454.52734
 -0.3463  -0.0236  65.93470   4.4044  26454.52734
 -0.2834   0.0663  66.02150   4.3690  26454.52930
  0.5751   0.0112  65.83990   4.4044  26454.52930
 -0.2067  -0.2082  65.67820   4.2377  26454.53125
 -0.2485  -0.1889  65.66240   4.2512  26454.53125
  0.0865  -0.2662  66.30005   4.1771  26454.53320
  0.4355  -0.1579  66.06085   4.2983  26454.53711
  0.8892  -0.0236  66.11500   4.2832  26454.53711
  0.6117  -0.1019  66.28725   4.3842  26454.53711
  0.2924  -0.2324  66.28810   4.2377  26454.53906
 -0.2939  -0.3078  66.39020   4.1822  26454.53906
 -0.0374  -0.2556  66.40185   4.1923  26454.54102
  0.1615  -0.2759  66.49705   4.2428  26454.54102
 -0.1578  -0.2623  66.64320   4.1973  26454.54102
 -0.1264  -0.1947  66.27120   4.2478  26454.54297
 -0.3463  -0.1425  65.91415   4.2377  26454.54492
  0.4425  -0.0922  66.17505   4.3724  26454.54492
  0.3500  -0.1367  66.09995   4.2478  26454.54688
  0.1877  -0.1483  66.10020   4.2630  26454.54688
 -0.3253  -0.2546  66.28530   4.2310  26454.54883
 -0.0322  -0.2507  66.28780   4.1906  26454.54883
  0.1982  -0.1618  65.90055   4.1637  26454.55273
 -0.5836  -0.1463  65.79565   4.2310  26454.55273
 -0.1159  -0.0729  65.91900   4.4599  26454.55273
  0.1982  -0.1715  66.10960   4.3286  26454.55273
  0.4495  -0.1309  66.67330   4.3791  26454.55273
 -0.1089   0.0354  66.07410   4.4869  26454.55469
  0.6275   0.1533  66.02795   4.5559  26454.55664
  0.9311   0.2374  66.48600   4.6720  26454.55664
 -0.0688   0.1736  66.02810   4.5256  26454.55859
 -0.2782   0.1504  65.93415   4.5660  26454.55859
 -0.3306   0.0924  66.22870   4.5508  26454.56055
 -0.5714  -0.0091  66.22005   4.4599  26454.56055
 -0.2834  -0.0410  66.13250   4.3791  26454.56250
  0.7985   0.0238  66.05970   4.3791  26454.56250
  0.0027  -0.2043  66.28265   4.2310  26454.56836
 -0.4195  -0.2904  66.01485   4.2276  26454.56641
 -0.0269  -0.2991  65.94195   4.2428  26454.56836
  0.0865  -0.3126  66.15190   4.0492  26454.56836
  0.7636  -0.1425  66.26050   4.2714  26454.57031
  0.6449  -0.0458  66.04130   4.3522  26454.57031
  0.0027  -0.0381  66.06085   4.2849  26454.57227
 -0.0810  -0.0690  65.95995   4.4734  26454.57227
  0.4076  -0.0497  65.77190   4.3892  26454.57422
  0.3866  -0.1019  66.48600   4.3690  26454.57422
  0.5681  -0.1231  66.54815   4.2445  26454.57812
  0.1511  -0.1425  66.04070   4.3690  26454.57812
  0.5228  -0.0439  66.02875   4.3842  26454.57812
  0.5542  -0.0071  65.93620   4.4397  26454.58008
  0.0586   0.0702  66.06970   4.6148  26454.58398
  0.2819   0.0045  65.70425   4.4195  26454.58398
 -0.1578  -0.2585  65.80380   4.1839  26454.58398
 -0.2346  -0.3629  65.55015   4.0425  26454.58398
  0.7950  -0.1338  65.90780   4.2327  26454.58594
  0.5542  -0.0265  65.52070   4.3589  26454.58594
  0.9101  -0.1541  65.55300   4.4599  26454.58789
 -0.0112  -0.1927  65.45030   4.2714  26454.58789
 -1.0303  -0.1579  66.26290   4.2579  26454.58789
 -0.6255  -0.1502  65.90025   4.3051  26454.58789
 -0.2730  -0.1222  65.98545   4.3640  26454.59180
 -0.2049  -0.1396  65.69285   4.4246  26454.59180
 -0.8593  -0.1106  65.82985   4.3135  26454.59375
 -0.5190  -0.0932  65.66120   4.3438  26454.59375
 -0.0583  -0.1947  65.76280   4.1569  26454.59375
  0.1074  -0.1850  65.67400   4.2849  26454.59570
 -0.4353  -0.1686  65.92380   4.2933  26454.59961
 -0.2887  -0.1193  66.01660   4.3387  26454.59961
 -0.6342  -0.1396  65.85560   4.2731  26454.60156
 -0.2468   0.0808  65.67835   4.4246  26454.60156
  0.1929   0.1040  65.55850   4.4549  26454.60156
  0.6065   0.0460  65.92340   4.3488  26454.60352
  0.6868  -0.0690  65.79130   4.4599  26454.60352
  0.5053  -0.0767  65.43800   4.2849  26454.60352
 -0.1787  -0.2121  65.53750   4.2377  26454.60742
  0.0097  -0.1579  65.93445   4.2377  26454.60742
  0.0307  -0.2817  66.15905   4.0829  26454.60938
 -0.0740  -0.2159  65.56010   4.1165  26454.60938
  0.4338  -0.2846  65.45915   4.1216  26454.60938
  0.2715  -0.4267  65.88450   4.1317  26454.61133
 -0.2154  -0.5195  65.65445   3.9701  26454.61328
 -0.8122  -0.4992  66.18335   4.0660  26454.61328
 -0.2834  -0.3948  65.40195   4.1418  26454.61523
  0.0882  -0.3165  65.65500   4.1519  26454.61523
 -0.7651  -0.3281  66.30775   4.1973  26454.61719
 -0.8069  -0.2237  65.90405   4.2983  26454.61719
  0.1772  -0.0613  65.57005   4.2849  26454.61914
 -0.2136  -0.0110  65.44890   4.3387  26454.61914
 -0.3532  -0.1927  65.80350   4.3455  26454.61914
 -0.5277  -0.2469  65.93705   4.2108  26454.61914
 -0.6132  -0.1773  65.37980   4.2074  26454.62305
 -0.3044  -0.0700  65.45935   4.2731  26454.62305
 -0.2887  -0.0004  65.52830   4.3185  26454.62500
 -0.3148   0.0170  66.10015   4.4549  26454.62500
  0.1005   0.0509  65.66650   4.4128  26454.62500
 -0.0165   0.0489  65.62455   4.3286  26454.62891
  0.4338   0.0083  65.80395   4.3943  26454.63086
  0.2348   0.0808  65.61775   4.4397  26454.63086
 -0.0217   0.0460  65.74745   4.3892  26454.63281
  0.2610   0.0866  65.47910   4.3741  26454.63281
  0.0865   0.0393  65.68670   4.3051  26454.63281
 -0.2485  -0.0767  66.15865   4.3185  26454.63477
  0.5123  -0.0555  65.94590   4.4195  26454.63672
 -0.1578  -0.1425  65.91100   4.2983  26454.63672
 -0.3253  -0.0303  65.43565   4.3859  26454.63867
  0.6379   0.0934  65.68435   4.4801  26454.63867
  0.6170   0.1359  65.43280   4.4734  26454.64062
  0.1668   0.0692  65.39555   4.3791  26454.64062
 -0.2101   0.0692  65.55025   4.4044  26454.64062
 -0.4771   0.1243  65.71245   4.5458  26454.64258
 -0.6499   0.1417  65.43680   4.5559  26454.64453
 -1.1367  -0.0120  65.44700   4.3943  26454.64453
 -0.7546   0.0199  65.63110   4.3337  26454.64648
 -0.4091  -0.0729  65.89350   4.4195  26454.64648
  0.0935  -0.0062  65.61665   4.2630  26454.64844
  0.3866  -0.0033  65.63405   4.2428  26454.65039
  0.5070  -0.0671  65.74760   4.2781  26454.65234
  0.5332   0.0025  65.67475   4.3589  26454.65234
  0.5960  -0.0120  65.66835   4.3438  26454.65625
  0.0882  -0.0903  65.83660   4.1872  26454.65625
 -0.4091  -0.2121  65.90335   4.2310  26454.65820
  0.0725  -0.2759  65.56460   4.1266  26454.65820
  0.7007  -0.3629  65.92815   4.0357  26454.66016
  0.1144  -0.4982  65.67880   4.0425  26454.66211
  0.0865  -0.4054  65.69455   3.9886  26454.66211
 -0.1718  -0.5175  65.57905   3.9886  26454.66211
 -0.4091  -0.4943  65.69255   4.1031  26454.66406
 -0.0007  -0.4586  65.37340   4.0812  26454.66406
 -0.0112  -0.2817  65.62825   4.1519  26454.66602
 -0.0426  -0.2643  65.28845   4.1367  26454.66602
  0.4023  -0.1483  65.75050   4.1317  26454.66797
  0.1074  -0.0999  65.55480   4.3253  26454.66602
  0.3029  -0.0468  65.81255   4.2680  26454.67188
  0.4128   0.1156  65.44765   4.3993  26454.67188
  0.6641   0.1736  65.36755   4.5407  26454.67383
 -0.2468   0.1185  65.57500   4.5710  26454.67383
  0.2505   0.0750  65.77270   4.4953  26454.67578
  0.0411   0.0315  65.65750   4.4347  26454.67578
  0.0656   0.0663  65.58205   4.5273  26454.67773
 -0.3044  -0.0149  65.56810   4.4195  26454.67773
  0.1772  -0.1773  65.20190   4.3185  26454.67969
  0.2610  -0.1773  66.29080   4.3589  26454.67969
 -0.8907  -0.0265  65.82010   4.3926  26454.68164
 -0.2555   0.0122  65.79515   4.4532  26454.68164
 -0.3253  -0.1618  65.68420   4.2916  26454.68164
  0.0516  -0.2778  65.52550   4.2983  26454.68164
  0.0621  -0.1976  65.55020   4.1367  26454.68555
 -0.1159  -0.1483  65.73070   4.2832  26454.68555
 -0.4091  -0.2469  65.47910   4.2074  26454.68750
 -0.1683  -0.2759  65.54950   4.1721  26454.68750
 -0.1369  -0.4131  65.65160   4.1771  26454.68945
  0.1354  -0.4818  65.54850   4.0559  26454.69141
 -0.6080  -0.5050  65.66010   4.0256  26454.69336
 -0.2991  -0.3049  65.39945   4.3084  26454.69336
 -0.2991  -0.0323  65.85705   4.4296  26454.69531
 -0.2887  -0.0381  65.49870   4.3539  26454.69531
