 X_force  Z_force    lambda  Y_force    time(sec)
  0.4128   0.1475  70.22640   4.1064  26303.33789
  0.8264   0.1591  70.44005   3.9751  26303.33789
  0.2191   0.1707  70.78085   3.8943  26303.33984
  0.4425   0.2210  70.39545   4.2310  26303.33789
  0.5611   0.3795  70.13420   4.1771  26303.34180
  0.2191   0.2017  70.39480   4.2108  26303.34180
  0.6484   0.1620  70.12685   4.2731  26303.34375
  0.5228   0.1939  70.66225   4.1620  26303.34375
  0.3866   0.1620  70.75255   4.0610  26303.34766
  0.2087   0.1910  70.30800   4.2226  26303.34766
  0.2139   0.2519  70.65545   4.0509  26303.34961
  0.0446   0.2365  70.13570   3.9549  26303.34961
 -0.3515   0.2983  70.74885   4.3084  26303.35156
  0.2139   0.3476  70.12730   4.3539  26303.35352
  0.2819   0.4085  70.29065   4.2832  26303.35547
  1.1300   0.4085  70.39715   4.0307  26303.35547
  0.7007   0.3718  70.13935   4.2108  26303.35742
  0.8892   0.4607  70.62545   4.1973  26303.35742
  0.2819   0.3022  70.52075   4.2512  26303.35938
  0.3378   0.1862  70.14965   4.0357  26303.35938
  0.4704   0.1591  70.03440   4.0761  26303.36133
  0.0237  -0.1077  70.27425   4.2310  26303.36133
  0.2470  -0.1463  70.16665   4.0492  26303.36523
  0.4913  -0.0226  70.04430   3.9280  26303.36523
  1.0672   0.1272  70.42655   4.1569  26303.36523
  0.8211   0.1591  70.22905   4.1468  26303.36523
  0.2296   0.0953  69.86870   4.0963  26303.36719
 -0.1107  -0.0294  70.12520   3.9297  26303.36719
 -0.1107  -0.2005  70.02970   4.1115  26303.36719
 -0.0950  -0.1077  70.01715   4.0509  26303.36914
  0.9311  -0.1657  70.37985   4.1569  26303.37109
  0.0778  -0.0323  70.03200   4.1569  26303.37305
  0.5228   0.1243  70.12085   4.1367  26303.37500
  1.0515   0.2896  70.03095   3.8842  26303.37500
  0.5385   0.2809  70.28955   4.0761  26303.37500
  0.7740   0.3360  70.40240   4.3387  26303.37695
  0.6449   0.4530  70.51020   4.4532  26303.38086
 -0.1787   0.3254  70.06890   4.3455  26303.38086
  0.6065   0.2867  70.22665   4.3993  26303.37891
  0.4913   0.1243  70.76410   4.0761  26303.38086
  0.4634   0.0431  70.53630   4.4532  26303.38281
  0.0446   0.0470  70.65415   4.1165  26303.38281
  0.1074   0.0779  70.65205   3.8472  26303.38477
 -0.0688   0.0721  70.77265   4.2226  26303.38477
  0.0621   0.1417  70.05255   3.8994  26303.38672
  0.4390   0.1301  70.50680   4.0004  26303.38672
  1.0515   0.2490  70.48855   4.2428  26303.38867
  0.8054   0.1649  70.29815   4.1216  26303.38867
  0.3866   0.1591  70.28445   4.0021  26303.39062
  0.9991   0.2026  70.11895   3.9600  26303.39258
  0.2453   0.1127  70.21840   3.9751  26303.39453
  0.0097   0.0924  70.29715   3.9549  26303.39453
  0.8054   0.1098  70.20840   3.8741  26303.39648
  0.3099   0.0470  70.61640   3.9751  26303.39648
 -0.1508  -0.0651  70.52295   3.7866  26303.39844
 -0.0391  -0.0187  70.18020   4.1098  26303.39844
  0.1772  -0.0613  70.03200   3.9415  26303.39844
  0.5542   0.1127  70.39335   4.0963  26303.40039
  0.0307   0.1591  70.16530   4.0155  26303.40039
  0.0586   0.1050  70.39865   4.1233  26303.40039
  0.4634   0.0973  70.52005   3.9347  26303.40430
  0.0446   0.1746  70.29200   4.2041  26303.40430
  0.3448   0.1098  70.13900   4.2276  26303.40625
  0.4809   0.1707  70.31835   4.0559  26303.40625
  0.5175   0.2055  70.02055   4.1923  26303.40625
  0.7217   0.1272  70.10880   4.0357  26303.40820
  0.3343   0.0692  70.20255   4.0155  26303.41016
  0.5228   0.1301  70.21555   4.2478  26303.41016
  0.2976   0.0866  70.30640   3.8893  26303.41406
  0.9258  -0.0497  70.47840   3.9549  26303.41406
  1.7477  -0.1686  70.01395   3.8135  26303.41406
  1.1300  -0.1947  69.74645   4.0610  26303.41602
  0.8892  -0.1270  70.39960   3.8607  26303.41602
  0.4425   0.0663  69.91200   3.8472  26303.41602
  0.8543   0.1785  70.03235   3.8337  26303.41992
  0.7566   0.1939  70.02365   4.0559  26303.41992
  0.3657  -0.0729  69.66710   4.4195  26303.42188
  0.5332  -0.2275  70.02025   3.8876  26303.42188
  0.3378  -0.3165  70.26745   3.8741  26303.42773
  0.0865  -0.3165  70.16445   3.5846  26303.42773
  0.4215  -0.1618  70.28220   3.7529  26303.42773
  0.2924  -0.1773  70.29295   3.9448  26303.42773
  0.3134  -0.0526  70.18680   3.8438  26303.42969
  0.2087   0.1301  69.73345   3.9297  26303.42969
 -0.1892   0.0344  69.65270   4.0660  26303.43164
  0.2401   0.0161  69.76550   3.9751  26303.43164
  0.5280   0.3070  70.19235   4.4094  26303.43555
  0.0045   0.1939  70.00395   4.1620  26303.43555
  0.2453   0.1678  69.92490   4.1216  26303.43750
  0.1929   0.1301  69.65145   4.2882  26303.43750
  0.9520   0.0547  69.84910   3.9953  26303.43945
  0.5472  -0.0033  69.79705   3.8674  26303.43945
  0.7147   0.0895  69.77925   3.9953  26303.44336
  0.8124   0.2597  69.79240   3.7799  26303.44336
  0.8159   0.0460  69.57940   4.1216  26303.44531
  0.1563  -0.0729  69.49425   4.0004  26303.44531
 -0.4981  -0.1077  69.67715   4.0054  26303.44727
  0.0237  -0.1811  69.64905   4.1098  26303.44727
  0.0376  -0.1425  69.62970   3.9145  26303.44727
 -0.3672  -0.1927  69.86280   4.0290  26303.44727
 -0.6813  -0.1850  69.86555   4.1435  26303.45117
 -0.3253  -0.0613  69.72845   4.0509  26303.45117
 -0.2834  -0.0535  69.64055   4.0357  26303.45312
  0.9782   0.0286  69.82145   3.8337  26303.45508
  0.1668   0.0141  69.73365   4.1771  26303.45703
 -0.3515  -0.0033  69.98225   4.1014  26303.45703
  0.4023   0.0489  69.73645   4.2175  26303.45898
  0.1406   0.0228  69.83430   4.1468  26303.45898
 -0.1526   0.0605  69.66850   4.0054  26303.46094
 -0.4091   0.1205  69.78590   4.1704  26303.46094
