 X_force  Z_force    lambda  Y_force    time(sec)
  1.0218   0.2403  42.23420   3.8203  26415.50000
  1.3080   0.1417  42.18325   3.7630  26415.50195
  1.3918   0.0663  42.37205   3.5307  26415.50391
  0.9101   0.0431  42.35340   3.5206  26415.50391
  0.2453   0.0025  42.09780   3.6267  26415.50586
  0.1703  -0.0613  42.72125   3.7260  26415.50586
  0.7845  -0.0342  42.46530   3.3893  26415.50781
  0.3517  -0.0110  42.73135   3.4163  26415.50781
  0.8962   0.0741  42.50040   3.5442  26415.50781
  0.9381   0.1746  42.03855   3.5711  26415.50977
  0.3134  -0.0149  42.55330   3.5459  26415.51172
  0.2191  -0.1811  42.38370   3.6317  26415.50977
  0.4076  -0.2875  42.28765   3.6014  26415.51562
  0.8578  -0.2788  42.28550   3.4701  26415.51562
  1.0620  -0.3426  42.46335   3.4095  26415.51562
  0.3500  -0.3832  42.46955   3.3186  26415.51758
 -0.1107  -0.4093  42.35320   3.4247  26415.51953
 -0.3044  -0.3426  42.36680   3.6469  26415.51953
 -0.3183  -0.3822  42.47285   3.7731  26415.52148
 -0.5975  -0.5253  42.46545   3.7597  26415.52148
 -0.3253  -0.4209  42.02420   3.6923  26415.52344
 -0.1735  -0.2933  42.61885   3.5610  26415.52539
 -0.2782  -0.3339  42.54520   3.4499  26415.52734
  0.1825  -0.2759  41.92595   3.4499  26415.52734
  0.6850  -0.2817  42.01770   3.5206  26415.52930
  0.0045  -0.3948  42.30280   3.4651  26415.52930
 -0.0426  -0.3136  42.29860   3.6873  26415.53125
 -0.2834  -0.1695  42.40570   3.4499  26415.53125
  0.1563  -0.1541  42.53445   3.6317  26415.53125
  0.5542  -0.0033  42.75290   3.7327  26415.53320
  1.0253   0.0547  42.18490   3.8640  26415.53516
  0.4547  -0.1599  42.10475   3.5560  26415.53516
  0.2087  -0.1715  42.18310   3.6368  26415.53711
  0.3552  -0.1802  42.10880   3.3439  26415.53711
  0.1458  -0.0352  42.35330   3.5206  26415.53906
  0.3605  -0.0207  41.80420   3.4853  26415.53906
  0.6030   0.1321  41.87925   3.7933  26415.53906
  0.3936   0.1011  41.88940   3.5577  26415.54102
  0.3866   0.0045  42.63220   3.5846  26415.54102
  0.0411  -0.1831  42.17455   3.7529  26415.54492
 -0.0060  -0.1280  42.35465   3.8893  26415.54688
 -0.3515  -0.0961  41.90020   3.8691  26415.54688
  0.0150  -0.1860  42.38335   3.7176  26415.54688
 -0.1648  -0.1773  42.01700   3.7933  26415.54883
 -0.7371  -0.2778  42.38620   3.8270  26415.55273
  0.0237  -0.2662  42.49000   3.6048  26415.55273
  0.1354  -0.3010  42.01395   3.6115  26415.55273
  1.1893  -0.1038  42.39795   3.3826  26415.55469
  0.7077  -0.2391  42.14885   3.6183  26415.55469
  0.6100  -0.1386  42.50080   3.6317  26415.55664
  0.7322   0.0518  42.19390   3.4600  26415.55859
  0.4652   0.0953  42.35255   3.6166  26415.55859
  0.4338   0.0866  42.28515   3.6620  26415.56055
  0.9154   0.1127  42.47065   3.8085  26415.56055
  0.2976   0.0489  42.46720   3.6418  26415.56250
  0.1040  -0.0439  42.18180   3.3792  26415.56250
  0.5123  -0.3513  42.36475   3.5711  26415.56445
  0.5280  -0.2846  42.54330   3.3287  26415.56445
  0.1929  -0.2034  42.47580   3.4701  26415.56641
 -0.1735  -0.1599  42.26780   3.5257  26415.56641
 -0.0165  -0.1396  42.37965   3.7176  26415.56836
 -0.5417  -0.1618  42.25005   3.6519  26415.56836
 -0.4300  -0.0458  42.50825   3.2210  26415.57031
 -0.2346  -0.0999  42.60035   3.4903  26415.57031
  0.2453  -0.1425  42.64320   3.9297  26415.57031
  0.0725  -0.0207  42.37805   3.8438  26415.57227
  0.4285   0.0547  41.65205   3.8135  26415.57422
  0.1144  -0.1038  42.73410   3.4836  26415.57227
  0.4355   0.0161  42.28575   3.3489  26415.57812
  1.3289   0.1669  41.78350   3.7529  26415.57812
  0.5856   0.0431  42.45960   3.7277  26415.58008
  0.2558  -0.1309  42.09920   3.7024  26415.58008
  0.9416  -0.1048  42.00220   3.7226  26415.58203
  0.3343  -0.1628  41.99410   3.4651  26415.58203
  0.1668  -0.1396  41.82745   3.3035  26415.58398
  0.7077  -0.0613  42.26780   3.3287  26415.58398
  1.2661  -0.1077  42.02535   3.3691  26415.58594
  0.5123  -0.2005  41.98175   3.5307  26415.58594
  1.2138  -0.2121  42.17885   3.6115  26415.58789
  1.4284  -0.0671  42.44600   3.4853  26415.58789
  0.4495  -0.0845  42.12170   3.3843  26415.58984
  0.5856  -0.0352  42.02150   3.6873  26415.58984
  0.8630  -0.0903  42.45980   3.5055  26415.59180
  0.6484  -0.1338  42.11110   3.5257  26415.59180
  0.8613  -0.0265  42.25970   3.6856  26415.59375
 -0.3323  -0.0187  42.24420   3.6789  26415.59375
 -0.7336  -0.0323  42.74680   3.9549  26415.59570
 -0.4928  -0.0613  41.69705   3.5307  26415.59570
  0.7985  -0.0613  42.39765   4.0761  26415.59961
  0.1354  -0.0690  42.83895   4.2512  26415.59961
  0.3308   0.1127  42.36330   3.6856  26415.59961
  0.0411   0.0866  42.45650   3.5863  26415.59961
  0.3134   0.1127  42.44440   3.5459  26415.60156
  0.7531   0.0750  42.25180   3.6873  26415.60156
  0.1040   0.0286  42.18735   3.6519  26415.60352
  0.1772   0.0344  41.83120   3.5105  26415.60352
 -0.1787  -0.0091  42.36695   3.4600  26415.60547
 -0.3044  -0.0033  43.07765   3.3893  26415.60547
 -0.0479  -0.0236  42.26955   3.7479  26415.60742
  0.2872  -0.1976  42.35550   3.8034  26415.60742
  0.0778  -0.2440  42.48120   3.5509  26415.60938
 -0.0322  -0.2904  42.01430   3.5358  26415.60938
  0.0830  -0.2121  42.21920   3.5004  26415.61133
  0.1615  -0.1483  42.10820   3.3742  26415.61133
 -0.0112  -0.1347  42.25700   3.4365  26415.61523
  0.6798  -0.0922  42.51055   3.4499  26415.61523
  0.7112  -0.2759  42.39415   3.3388  26415.61523
  0.7845  -0.4557  42.39230   3.7933  26415.61523
  1.0777  -0.1850  42.15645   3.3961  26415.61719
  1.2452   0.0431  42.15425   3.4028  26415.61719
  0.0464   0.0576  42.20380   3.5459  26415.61914
 -0.3463  -0.0787  42.56470   3.7226  26415.61914
  0.1092  -0.0004  42.09605   3.5661  26415.62109
  0.3657   0.0199  42.08840   3.5206  26415.62109
 -0.3881  -0.1657  42.11660   3.7327  26415.62305
 -0.6237  -0.1657  41.75110   3.6721  26415.62305
 -0.1526  -0.1251  42.46105   3.5358  26415.62500
 -0.4091  -0.2353  41.98205   3.6923  26415.62500
  0.3238  -0.2121  42.36095   3.5307  26415.62695
  0.4355  -0.1850  41.75955   3.3085  26415.62695
  0.4495  -0.2237  41.91785   3.6317  26415.63086
 -0.4998  -0.2469  42.25995   3.2412  26415.63086
  0.3866  -0.1106  42.47720   3.4045  26415.63086
  0.3343  -0.2092  42.46125   3.6974  26415.63086
  0.3238  -0.3455  42.18955   3.6418  26415.63281
  0.5385  -0.2962  42.55590   3.4499  26415.63281
  0.7060  -0.2266  42.75050   3.4297  26415.63477
  0.7112  -0.2179  42.20525   3.4903  26415.63477
  0.5960  -0.3397  42.71370   3.5105  26415.63672
  0.2558  -0.3745  42.63775   3.5257  26415.63672
  0.4495  -0.3803  42.28830   3.2227  26415.63867
  0.8002  -0.2440  42.44070   3.2328  26415.63867
  1.0044  -0.2353  42.28015   2.9853  26415.64062
  1.0201  -0.1947  42.44450   3.5206  26415.64062
  0.7077  -0.1889  42.24310   3.4971  26415.64258
 -0.1369  -0.1463  42.61000   3.6991  26415.64258
  0.4425  -0.0303  42.22275   3.5105  26415.64648
  0.7007  -0.0671  41.81375   3.4600  26415.64453
  0.7426  -0.1889  41.63130   3.6519  26415.64648
  0.8613  -0.0651  41.88365   3.6587  26415.64648
  0.1005  -0.0922  42.50485   3.5105  26415.64844
  0.0935  -0.0700  41.58765   3.6317  26415.64844
  0.1092  -0.1744  42.12690   3.7580  26415.65039
  0.7845  -0.1425  42.10125   3.4701  26415.65039
  0.7060  -0.0903  42.46765   3.3439  26415.65234
  0.4390  -0.2092  42.28050   3.5661  26415.65234
 -0.0897  -0.3078  42.63865   3.5509  26415.65625
 -0.1787  -0.1425  42.50450   3.5173  26415.65625
  0.9590   0.0238  42.13825   3.5509  26415.66211
  0.6170  -0.0767  42.22375   3.3624  26415.66211
  0.7322   0.1127  42.07460   3.7125  26415.66211
  0.2348   0.0518  42.19780   3.7630  26415.66211
  0.6641   0.1591  42.18670   3.7681  26415.66406
  0.5594   0.2316  42.30310   3.6772  26415.66406
  0.2610   0.1707  42.32465   3.7731  26415.66602
  0.5018   0.1533  42.44620   3.7630  26415.66602
  0.5646   0.2171  42.01465   3.7327  26415.66797
 -0.1787   0.0083  43.08950   3.7529  26415.66797
 -0.0583  -0.0642  42.55475   3.9398  26415.66992
  0.1301  -0.0990  42.38025   3.4600  26415.66992
 -0.1107  -0.0381  42.45870   3.6519  26415.67188
  0.5280  -0.1686  42.19385   3.7327  26415.67188
  0.3500  -0.1396  42.36770   3.6065  26415.67188
  0.3291  -0.1367  42.11655   3.6873  26415.67383
  0.4913  -0.0187  42.25620   3.6317  26415.67773
  0.8334  -0.0381  42.38050   3.5577  26415.67773
  0.7007  -0.1309  42.37725   3.3691  26415.67578
