 X_force  Z_force    lambda  Y_force    time(sec)
  0.0568  -0.2063  55.62405   4.1418  26274.05273
  0.0359  -0.2614  55.16120   4.2024  26274.05273
  0.0097  -0.2585  55.32305   4.0223  26274.05469
 -0.0531  -0.1077  55.42720   4.1771  26274.05469
  0.3448  -0.0961  55.06095   4.0559  26274.05664
  0.0150  -0.0526  54.90870   4.1468  26274.05664
 -0.0269  -0.1425  54.81090   4.0458  26274.05859
  0.5228  -0.0961  55.15725   4.3640  26274.05859
  0.8630   0.0460  54.87130   4.5256  26274.06055
  0.5646   0.1069  55.23895   4.3690  26274.06055
  0.4809   0.1272  55.06875   4.2024  26274.06250
  0.5699   0.3563  54.96665   4.1822  26274.06250
  0.3936   0.3138  55.05690   4.2108  26274.06445
  0.3866   0.1591  54.74530   4.3185  26274.06445
  0.7845   0.1707  54.70345   4.2983  26274.06445
  0.7147   0.2365  55.29595   4.3253  26274.06836
  0.5402   0.2481  55.31390   4.3387  26274.06836
 -0.2206   0.0973  55.29450   4.2983  26274.06836
 -0.8279   0.0315  55.17540   4.2916  26274.07031
 -0.3672   0.1098  55.00510   4.2478  26274.07031
 -0.2154   0.0663  55.52405   4.2579  26274.07227
  0.2976   0.1794  54.97575   4.1620  26274.07227
  0.3343   0.1649  55.33170   4.2276  26274.07422
  0.1144   0.0605  54.87700   4.1872  26274.07422
  0.0097   0.1591  55.03955   4.1771  26274.07617
  0.6327   0.1910  54.90345   4.0913  26274.07617
  0.4756   0.1910  55.16315   4.3387  26274.07812
  0.5385   0.2461  54.98050   4.1519  26274.07812
  0.2087   0.2577  54.87720   4.0458  26274.08008
  0.4599   0.3563  54.87605   4.2731  26274.08008
  0.8107   0.3824  54.98150   4.2428  26274.08203
  0.6309   0.2326  55.19195   4.4936  26274.08398
  0.3395   0.2432  55.34080   4.2882  26274.08398
  0.0307   0.2867  55.41815   4.6013  26274.08398
 -0.0531   0.2867  55.37260   4.3589  26274.08594
  1.1405   0.1591  55.38405   3.9953  26274.08594
  0.8211   0.1098  54.87200   4.2024  26274.08789
  0.5751   0.0982  55.07355   4.4448  26274.08789
  0.0307   0.0634  54.81335   4.1670  26274.08984
