 X_force  Z_force     lambda  Y_force    time(sec)
  1.1248   0.8325  295.92640   4.0247  11028.62793
  1.1719   0.8209  296.03030   4.0903  11028.62891
  1.3604   0.8528  296.02610   4.0853  11028.63086
  1.0253   0.8267  296.03590   4.0903  11028.63184
  1.1928   0.8383  296.02010   3.9893  11028.63281
  1.2417   0.9659  295.71560   3.8749  11028.63281
  1.1614   0.9456  296.05490   3.9489  11028.63477
  0.9677   0.9949  296.05550   3.9085  11028.63574
  0.9625   1.1051  295.48880   3.7570  11028.63672
  0.2924   1.0819  295.80245   3.8075  11028.63770
  0.8787   0.9137  296.00160   4.0196  11028.63965
  0.9049   0.9195  295.88600   4.0146  11028.63965
  1.3447   0.9717  295.90520   3.9388  11028.64062
  1.7006   1.0326  295.67300   3.8025  11028.64258
  1.5802   1.0239  295.77995   3.7469  11028.64355
  1.1510   0.9021  296.09495   3.9136  11028.64355
  0.7897   0.8992  295.84840   3.9590  11028.64453
  0.8369   0.7996  295.87225   4.0028  11028.64551
  1.2347   0.8073  296.01050   4.0701  11028.64746
  1.4336   0.7629  295.72430   4.1206  11028.64844
  0.9834   0.6759  295.73950   4.1105  11028.64941
  1.1440   0.6024  295.55320   4.2654  11028.64941
  1.2975   0.7339  295.65750   4.1374  11028.65137
  0.7531   0.8189  295.79385   4.1038  11028.65137
  0.8735   0.7600  295.63210   4.1156  11028.65234
  0.6379   0.7426  295.68890   4.2115  11028.65430
  0.8473   0.6498  295.69030   4.3176  11028.65527
  1.3656   0.7455  295.68700   4.1257  11028.65527
  1.7687   0.8470  295.87615   3.9843  11028.65625
  0.9834   0.9543  295.41840   3.9893  11028.65723
  0.7007   0.8499  295.82430   4.0297  11028.65918
  1.2295   0.9108  295.61495   3.9489  11028.65918
  1.3761   0.8789  295.59680   3.9287  11028.66016
  1.4860   0.9166  295.72745   3.8126  11028.66211
  1.1876   0.7832  295.72845   4.0954  11028.66309
  1.1143   0.7861  295.72695   4.0348  11028.66309
  0.8892   0.8615  295.72920   3.9590  11028.66406
